Sub_code,State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
WA6401,WA,6401,3799,216103782,674,1326652,56884.38589,1968.326409
WA6403,WA,6403,121,6392953,12,21838,52834.32231,1819.833333
WA6405,WA,6405,184,11013349,29,43870,59855.15761,1512.758621
WA6407,WA,6407,560,36872998,114,236282,65844.63929,2072.649123
WA6409,WA,6409,243,17794369,36,80536,73227.85597,2237.111111
WA6410,WA,6410,520,31660590,75,137030,60885.75,1827.066667
WA6411,WA,6411,88,7121113,7,40257,80921.73864,5751
WA6415,WA,6415,1568,116797526,306,587629,74488.21811,1920.356209
WA6418,WA,6418,381,28016098,65,130591,73533.06562,2009.092308
WA6420,WA,6420,71,5499494,7,20264,77457.66197,2894.857143
WA6421,WA,6421,94,7093642,4,9177,75464.2766,2294.25
WA6423,WA,6423,94,6381145,14,32869,67884.52128,2347.785714
WA6425,WA,6425,93,8417375,7,16422,90509.4086,2346
WA6426,WA,6426,414,26928783,80,174180,65045.36957,2177.25
WA6429,WA,6429,375,23263430,80,175238,62035.81333,2190.475
WA6430,WA,6430,14154,1106423565,3277,6108620,78170.38046,1864.089106
